,Model,Precision,Device,Loading Time,Inference Time
0,Face_Detection,FP16,MYRIAD, '9.428717851638794','0.2581162452697754'
1,Head_Pose,FP16,MYRIAD, '5.488755464553833','0.01746821403503418'
2,Facial_Landmark,FP16,MYRIAD,'5.262195587158203','0.022138595581054688'
3,Gaze_Estimation,FP16,MYRIAD,'5.520268201828003','0.012087583541870117'
